CBOE	0.7	0.0	0.5	0.0	0.0	0.5	0.0	0.0	7
CYRX	3.6	2.0	1.5	0.0	0.5	1.0	0.0	0.0	7
ALSYDB.CO	3.2	0.0	1.5	0.0	1.0	1.0	1.0	0.0	4
BAVA.CO	2.1	1.0	0.0	0.0	0.0	1.0	1.0	0.0	5
COLO-B.CO	3.9	0.5	1.0	0.0	1.5	1.0	1.0	0.5	5
DSV.CO	3.6	1.0	1.5	0.0	0.5	1.0	1.0	0.0	5
DFDS.CO	4.6	1.0	1.5	0.0	1.0	1.0	1.0	1.0	5
CARLB.CO	2.5	0.5	0.0	0.0	1.0	1.0	1.0	0.0	5
FLS.CO	2.9	1.5	0.5	0.0	0.0	1.0	1.0	0.0	5
GRLA.CO	2.5	0.0	0.5	0.0	1.0	1.0	1.0	0.0	4
FYNBK.CO	3.2	0.0	0.0	0.0	1.0	1.0	1.0	1.5	4
HUSCO.CO	3.6	1.0	2.0	0.0	0.0	1.0	1.0	0.0	5
JYSK.CO	3.6	0.0	2.0	0.0	1.0	1.0	1.0	0.0	4
HARBb.CO	2.9	1.0	0.0	0.0	0.5	1.0	1.0	0.5	5
LASP.CO	3.9	0.0	0.0	2.0	1.0	1.0	1.0	0.5	4
MTHH.CO	3.2	0.5	2.0	0.0	0.0	1.0	1.0	0.0	5
MAERSKB.CO	3.6	0.5	2.0	0.0	0.5	1.0	1.0	0.0	5
NSIS-B.CO	2.1	0.5	0.5	0.0	0.0	1.0	1.0	0.0	5
SJF.CO	3.2	0.0	1.5	0.0	1.0	1.0	1.0	0.0	4
PRIMOF.CO	3.2	0.0	0.5	0.0	1.0	1.0	1.0	1.0	4
TIV.CO	2.5	0.0	0.0	0.0	0.5	1.0	1.0	1.0	5
DAVE	3.2	2.0	0.5	0.0	1.0	1.0	0.0	0.0	7
TRYG.CO	2.5	0.0	0.5	0.0	0.0	1.0	1.0	1.0	5
ZEAL.CO	2.5	0.5	1.0	0.0	0.0	1.0	1.0	0.0	5
DCTH	2.1	0.5	1.0	0.0	0.0	1.0	0.5	0.0	7
DFDV	4.3	2.0	1.0	0.0	1.0	1.0	0.5	0.5	6
DMRC	4.3	2.0	1.5	0.0	0.0	2.0	0.0	0.5	7
DLO	2.5	1.0	0.0	0.0	0.0	1.5	0.0	1.0	7
DHC	3.9	2.0	0.5	0.0	1.5	1.5	0.0	0.0	7
DNUT	4.3	1.5	1.0	0.0	1.5	1.0	0.0	1.0	7
DOO	3.9	1.0	0.5	0.0	2.0	1.5	0.5	0.0	7
DGICA	1.8	0.0	0.0	0.0	0.0	1.5	0.0	1.0	7
DRS	2.9	0.0	0.5	1.0	0.0	1.0	0.0	1.5	7
DOYU	3.9	1.0	1.0	2.0	0.0	0.5	0.0	1.0	7
DSGR	2.9	0.5	2.0	0.0	1.0	0.5	0.0	0.0	7
DXPE	3.2	1.0	1.0	0.0	1.5	0.5	0.5	0.0	7
AJMANBANK.AE	4.6	0.5	0.0	2.0	1.0	1.0	1.0	1.0	4
