IBKR	Interactive Brokers Group	89.85	87.50%	Strong Buy	0.35%
ILMN	Illumina	213.24	46.67%	Moderate Buy	0%
INCY	Incyte Corp.	127.22	52.38%	Moderate Buy	0%
IONS	Ionis Pharmaceuticals	58.76	80.00%	Strong Buy	0%
IPGP	Ipg Photonics Corp.	74.43	100.00%	Strong Buy	0%
JAZZ	Jazz Pharmaceuticals	248.70	94.12%	Strong Buy	0%
KHC	Kraft Heinz Co	25.57	78.57%	Hold	6.25%
LAMR	Lamar Advertising Company	151.01	80.00%	Hold	4.18%
LBTYA	Liberty Global A	10.64	80.00%	Hold	0%
LBTYK	Liberty Global C	10.30	100.00%	Moderate Buy	0%
LILA	Liberty Latin America Ltd.	8.17	33.33%	Hold	0%
MELI	MercadoLibre Inc	1922.73	72.73%	Moderate Buy	0%
MMYT	Makemytrip	60.79	100.00%	Strong Buy	0%
MNST	Monster Beverage Corp	47.49	61.11%	Moderate Buy	0%
NXPI	NXP Semiconductors	222.97	57.89%	Moderate Buy	1.80%
PBYI	Puma Biotechnology Inc	9.11	100.00%	Hold	0%
POWI	Power Integrations	54.84	100.00%	Strong Buy	1.54%
PPC	Pilgrim's Pride	31.24	80.00%	Hold	0%
ROP	Roper Technologies Inc	410.45	53.85%	Moderate Buy	0.86%
SBAC	SBA Communications Corporation	180.54	50.00%	Moderate Buy	3.27%
SEIC	SEI Investments Company	107.60	83.33%	Strong Buy	0.95%
SHOP	Shopify Inc.	147.18	87.10%	Strong Buy	0%
SWBI	Smith & Wesson Brands Inc	13.91	100.00%	Moderate Buy	3.69%
SWKS	Skyworks Solutions	67.94	80.00%	Hold	4.23%
SYNA	Synaptics Inc.	98.00	80.00%	Hold	0%
TRMB	Trimble Inc.	59.68	87.50%	Strong Buy	0%
VIAV	Viavi Solutions	38.56	87.50%	Strong Buy	0%
VRSK	Verisk Analytics	187.68	50.00%	Moderate Buy	1.01%
VRSN	Verisign	276.90	66.67%	Moderate Buy	1.14%
VRTX	Vertex Pharmaceuticals Incorporated	540.26	80.00%	Strong Buy	0%
WTW	Willis Towers Watson Public Limited Company	341.15	64.71%	Moderate Buy	1.10%
XRAY	Dentsply Sirona Inc.	10.78	75.00%	Hold	2.93%
WEN	Wendy's	8.81	72.73%	Moderate Sell	6.22%
CACC	Credit Acceptance	585.88	100.00%	Hold	0%
VISN	Vistance Networks Inc	11.31	50.00%	Moderate Buy	0%
FAST	Fastenal Company	50.66	42.86%	Hold	1.87%
AVGO	Broadcom Inc	364.03	85.71%	Strong Buy	0.69%
