TBPH	5.4	1.0	1.0	1.0	1.0	2.0	0.0	2.0	1.0	0.5	0.5	1.5	1.0	0.0	1.0	1.0	1.0	2.0	2.0	18
NXI.PA	5.0	0.0	1.0	1.0	1.0	0.5	0.0	1.0	0.5	2.0	1.0	1.0	2.0	0.5	2.0	1.0	0.5	2.0	1.0	15
CGON	2.8	1.0	0.0	1.0	0.0	0.5	1.0	0.0	0.0	0.0	1.5	1.0	0.5	1.0	0.0	1.0	0.0	1.5	0.0	15
TRU.L	6.8	2.0	1.0	1.0	1.0	1.5	1.0	2.0	2.0	2.0	0.5	0.0	0.0	2.0	2.0	1.0	2.0	2.0	1.5	16
WIMI	4.9	2.0	1.0	1.0	1.0	2.0	0.5	1.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	2.0	15
CNP	6.5	1.0	1.0	1.0	1.0	1.5	1.5	1.5	1.5	0.0	1.5	1.5	1.5	1.5	1.0	2.0	2.0	0.5	2.0	18
RCI	7.4	2.0	2.0	1.0	0.5	2.0	1.0	1.5	1.5	2.0	0.5	0.0	1.5	2.0	1.5	2.0	2.0	1.5	2.0	18
MIRM	4.6	1.0	1.0	1.0	2.0	0.0	2.0	2.0	0.0	0.5	1.5	1.0	1.0	1.0	0.5	1.0	0.0	1.0	0.0	15
CPAY	7.8	2.0	1.0	1.0	1.5	2.0	2.0	2.0	2.0	1.5	1.5	2.0	0.5	1.5	1.0	1.0	2.0	1.5	2.0	18
WRLD	6.8	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.5	1.5	0.5	2.0	1.5	1.5	1.5	1.0	1.0	0.5	2.0	17
KC	6.4	1.0	1.0	1.0	2.0	0.5	2.0	0.5	0.5	0.0	1.5	1.0	1.5	2.0	2.0	1.0	1.5	2.0	2.0	15
BZUN	6.2	2.0	1.0	1.0	1.0	0.5	1.0	2.0	0.5	1.0	1.0	1.0	2.0	2.0	2.0	1.0	0.5	2.0	1.0	13
XPER	5.8	1.0	1.0	1.0	0.0	0.5	1.0	2.0	0.5	2.0	1.0	1.0	2.0	2.0	2.0	1.0	0.5	2.0	0.5	15
BNB.BR	4.6	1.0	1.0	1.0	1.0	0.5	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7
NAB.ASX	5.6	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	1.0	1.5	1.5	1.5	1.0	0.5	1.0	0.0	2.0	1.0	13
ELMT	4.9	1.0	1.0	1.0	2.0	0.5	2.0	1.0	0.0	1.0	0.5	1.0	1.5	0.0	2.0	1.0	0.5	1.5	0.0	14
FPS	5.3	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.5	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.5	17
HST	6.7	0.5	2.0	1.0	0.0	1.5	1.0	1.0	1.5	2.0	2.0	0.0	1.5	1.5	1.5	2.0	1.5	1.5	2.0	18
9926.HK	4.2	1.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	0.5	1.0	0.0	1.0	0.0	1.5	0.0	14
STO3.DE	6.5	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.5	1.5	0.5	2.0	2.0	2.0	2.0	2.0	0.5	2.0	0.5	16
MBI	4.7	1.0	1.0	1.0	0.0	0.0	0.0	2.0	1.5	2.0	0.5	1.0	1.0	1.0	0.0	1.0	0.0	2.0	2.0	15
ETOR	4.4	1.5	0.0	1.0	0.0	1.0	0.0	0.0	0.5	1.0	1.5	1.5	1.5	1.0	2.0	1.0	0.0	2.0	0.5	16
FWDI	3.9	0.5	1.0	1.0	0.0	0.5	2.0	2.0	0.0	1.0	0.5	1.0	1.5	0.0	0.5	1.0	1.0	0.5	0.0	17
EKT.DE	5.1	0.5	1.0	1.0	1.0	1.0	2.0	1.5	1.0	0.0	0.5	2.0	1.5	1.0	1.0	0.0	1.5	2.0	0.0	16
EQS.PA	6.8	0.5	1.0	1.0	1.0	1.5	1.5	1.0	1.5	1.0	0.5	2.0	1.5	1.5	2.0	2.0	1.5	1.5	2.0	16
TIGO	7.2	2.0	0.0	1.0	1.0	1.0	2.0	2.0	1.5	2.0	1.0	2.0	1.0	1.5	1.5	1.5	2.0	1.0	2.0	17
VALT.L	6.7	1.5	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	0.5	0.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0	16
QBY0.DE	4.9	2.0	1.0	1.0	0.0	1.0	0.5	0.5	0.0	1.0	0.5	1.0	2.0	0.5	2.0	1.0	0.5	2.0	1.0	16
ADE.DE	4.6	1.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	0.5	2.0	0.0	1.0	0.0	13
WWD	5.8	1.0	2.0	1.0	0.5	1.5	2.0	1.0	1.5	0.5	1.5	1.5	0.5	0.5	1.5	2.0	1.0	0.5	1.0	18
MAN	5.4	2.0	1.0	1.0	0.0	1.0	1.0	0.5	0.5	1.0	1.0	2.0	1.5	1.5	2.0	1.5	0.5	1.0	0.5	18
TITN	3.9	1.0	0.0	1.0	0.0	0.5	0.5	0.5	0.0	2.0	0.5	1.0	2.0	0.0	2.0	1.0	0.5	1.0	0.5	17
FET.US	5.3	1.0	1.0	1.0	2.0	0.5	1.5	1.0	1.0	1.5	0.5	1.0	1.0	1.0	2.0	1.0	0.5	0.5	1.0	16
EME.L	4.3	1.0	1.0	2.0	1.0	0.5	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	9
UCB	6.2	1.0	1.0	1.0	0.5	2.0	2.0	0.0	2.0	1.0	1.0	1.5	1.5	1.0	1.5	2.0	0.0	1.5	2.0	16
CHC.ASX	6.4	0.5	1.0	1.0	1.0	2.0	0.5	2.0	2.0	1.5	1.5	2.0	1.5	1.0	0.5	2.0	2.0	0.5	0.5	16
GIVN.ZU	5.6	0.0	1.0	1.0	1.0	1.5	0.5	1.5	1.5	1.0	1.5	2.0	0.5	0.5	1.5	1.5	1.5	0.5	1.5	16
ARWR	3.8	1.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	1.5	1.0	0.0	1.0	0.5	1.0	0.0	1.5	0.0	16
