IR	6.7	6.8	6.4	23
HBM	6.5	6.8	5.9	23
DKSH.ZU	5.8	6.4	4.5	19
P4O.DE	4.3		4.3	7
QBTS	3.9	4.1	3.4	21
ASAI.L	6.6		6.6	8
MMI	5.7		5.7	10
KENDR.NV	6.1		6.1	9
REPL	4.4	5.2	2.5	20
CURB	6.2	5.9	6.8	23
MTUS	4.8		4.8	10
IDR.US	6.0	6.4	5.0	23
01177.HK	7.5		7.5	8
APLT.CVR	5.0	5.0		0
DVA	6.5	6.8	5.7	23
UWMC	4.2	4.5	3.4	20
REC.L	6.1		6.1	9
UVSP	6.0	6.1	5.7	20
BONEX.ST	5.7		5.7	10
TME	6.2	5.7	7.3	24
UPST	4.7	4.8	4.5	24
NUVB	5.1	5.0	5.2	21
SUNS	5.8	5.5	6.4	21
VRTS	5.6	5.4	6.1	23
NEE	5.2	5.0	5.7	23
FRT	6.3	6.4	6.1	24
7751.T	4.5		4.5	10
HLF	6.0	5.7	6.6	22
MIN.ASX	6.8	7.1	6.1	19
ICOS.MI	6.4	6.8	5.5	19
TFII	6.6	7.0	5.7	22
AWR	5.5	5.5	5.5	23
JEN.DE	7.2	7.7	6.1	21
AENA.MC	7.0	7.1	6.8	21
COO	5.8	5.7	6.1	23
AFRM	6.6	6.5	6.8	25
RXO	4.7	4.5	5.2	23
ASX	5.7	6.4	4.1	23
WOSG.L	5.9	6.2	5.2	20
0992.HK	5.8	6.1	5.2	21
DBV.PA	3.6		3.6	7
6954.T	6.6		6.6	9
OGS	5.4	5.4	5.5	23
ALLO	5.1	5.5	4.3	20
RMD.ASX	5.8	5.7	6.1	22
TZOO	4.8	4.8	4.8	21
TDY	6.8	6.6	7.3	23
IPH.ASX	5.9	5.5	6.8	19
SFQ.DE	6.8	7.0	6.4	20
ORSTED.CO	5.9		5.9	9
MDB	6.3	6.1	6.8	24
KRN.DE	6.2	6.4	5.9	21
RMNI	5.9	5.9	5.9	21
KAI	6.1	6.2	5.9	23
APLD	5.1	5.4	4.3	22
MWH	6.1	6.1	6.1	20
XXII	3.2		3.2	7
RNW	6.0	6.1	5.7	22
RHK.DE	3.6		3.6	9
1585.HK	5.4	5.7	4.8	19
4004.T	5.5		5.5	9
NVX.ASX	3.9		3.9	5
BZUN	5.8	5.9	5.5	18
VISL	5.5		5.5	6
GTLB	5.8	5.9	5.5	22
HRTX	3.4		3.4	8
AJB.L	6.2	6.1	6.4	18
HOMB	6.3	6.6	5.7	21
IBEX	6.1		6.1	10
IUR.DE	3.6		3.6	7
ICAD.PA	4.6	4.5	4.8	19
LKQ	6.1	6.1	6.1	24
CNR	5.6	6.4	3.6	23
AMCR	6.2	5.9	6.8	22
BKU	5.0	4.8	5.5	21
SKISb.ST	5.5		5.5	10
LQAG.DE	5.2		5.2	8
TNYA	3.9	3.6	4.5	19
MBGL	6.1	5.7	7.0	17
FSLY	5.3	5.0	6.1	21
CQP	6.4	6.6	6.1	24
PLTR.EUR	7.2	6.8	8.0	24
IBRX	5.1	5.2	5.0	20
NVDA.24-7	8.4		8.4	10
CNX	5.7	5.4	6.4	23
ZEG.L	6.1	6.2	5.9	16
RAPP	5.1	5.7	3.6	21
OCI.NV	5.3	5.7	4.5	16
ZLAB	5.2	6.1	3.2	21
IBS.LS	5.7		5.7	9
LR.PA	7.2	7.3	7.0	22
SHEL.L	5.4	5.0	6.4	22
