NWG.L	Natwest Group PLC	690.00			5.07%
NXR.L	Norcros Plc	325.00			3.49%
NXT.L	Next PLC	15.64K			1.71%
OCDO.L	Ocado Group PLC	244.60			0%
OGZDL.L	Gazprom OAO-ADR	0.50			0%
OMU.L	Old Mutual Limited	58.00			7.11%
ONT.L	Oxford Nanopore Technologies plc	179.80			0%
OSB.L	OSB Group PLC	512.50			9.15%
OTB.L	On the Beach	191.80			2.09%
OXB.L	OXB	513.00			0%
OXIG.L	Oxford Instruments plc	2.81K			0.84%
PAF.L	Pan African Resources Plc	138.30			1.58%
PAG.L	Paragon Group of Cos PLC	818.00			5.58%
PAGE.L	Michael Page PLC	222.40			3.84%
PAY.L	PayPoint PLC	630.50			0%
PBEE.L	Pensionbee Group Plc	133.00			0%
PCA.L	Palace Capital Plc	180.00			6.15%
PCTN.L	Picton Property Income Ld	72.30			4.89%
PDL.L	Petra Diamonds Ltd	5.50			0%
PETS.L	Pets at Home Group Plc	217.00			3.42%
PFC.L	Petrofac	4.98			0%
PFD.L	Premier Foods plc	201.20			1.68%
PHAR.L	Pharos Energy Plc	30.10			4.44%
PHP.L	Primary Health Properties	97.20			7.47%
PIN.L	Pantheon International	386.00			0%
PINE.L	Pinewood Technologies Group Plc	449.50			0%
PLUS.L	PLUS 500 LTD	3.70K			1.88%
PNN.L	Pennon Group PLC	472.80			6.19%
POLN.L	Pollen Street Group Limited	873.00			6.64%
PPH.L	Pphe Hotel Group Ld	1.64K			2.38%
PRE.L	Pensana Plc	79.60			0%
PROC.L	Procook Group Plc	50.00			0%
PRSR.L	Prs Reit (The) Plc	113.42			3.89%
PRU.L	Prudential	1.04K			1.90%
PRV.L	Porvair Plc	860.00			0.80%
PSDL.L	Phoenix Spree Deutschland Limited	159.00			0%
PSH.L	Pershing Square Holdings Ltd	3.90K			1.35%
PSN.L	Persimmon	1.19K			5.07%
PSON.L	Pearson	1.21K			2.11%
PTEC.L	Playtech Plc	401.00			0%
PYX.L	Pyx Resources Limited	0.16			0%
PZC.L	PZ Cussons PLC	104.40			3.46%
QLT.L	Quilter PLC	194.00			3.26%
QQ.L	QinetiQ Group PLC	526.00			2.09%
RAT.L	Rathbone Brothers PLC	1.70K			5.82%
RCH.L	Reach Plc	42.70			13.74%
RCP.L	RIT Capital Partners PLC	2.57K			0%
REC.L	Record Plc	43.50			8.20%
REL.L	RELX PLC	2.61K			2.63%
RESI.L	Residential Secure Income Plc	8.60			11.24%
RGL.L	Regional Reit Ld	95.80			9.88%
RHIM.L	RHI Magnesita	2.81K			5.56%
RIGD.L	Reliance Industries Limited	55.10			0%
RIO.L	Rio Tinto	7.73K			2.48%
RKT.L	Reckitt Benckiser	5.14K			4.20%
RMV.L	Rightmove PLC	515.40			2.07%
RNK.L	Rank Group PLC	109.00			2.72%
