TICKER	NAME	EXCHANGE
HTZWW	Hertz Global Holdings Inc. Wt	OTC Markets
IDEXQ	Ideanomics Inc	OTC Markets
IVCBF	Investcorp Europe Acquisi-A	OTC Markets
JTKWY	Just Eat Takeaway.com NV-ADR	OTC Markets
LEVGQ	Lion Electric Co/The	OTC Markets
LILMF	Lilium Nv	OTC Markets
LOGC	Contextlogic Holdings Inc	OTC Markets
LUNA.US	Luna Innovations Inc	OTC Markets
LUXHQ	Luxurban Hotels Inc	OTC Markets
MARK	Remark Holdings Inc	OTC Markets
MBRFY	MARFRIG GLOBAL FOOD-SPON ADR	OTC Markets
MDRX	Veradigm Inc	OTC Markets
MFLTY	MissFresh Ltd. ADR	OTC Markets
MOND	Mondee Holdings Inc	OTC Markets
MTBLY	Moatable Inc-ADR	OTC Markets
MTPLF	Metaplanet Inc	OTC Markets
NKGN	Nkgen Biotech Inc	OTC Markets
ORANY	Orange S.A.-ADR	OTC Markets
PITEF	Heramba Electric Plc	OTC Markets
QTTOY	Qutoutiao Inc.-ADR	OTC Markets
SBNY	Signature Bank	OTC Markets
SCPX	Scorpius Holdings Inc	OTC Markets
SDCCQ	SmileDirectClub Inc	OTC Markets
SDZNY	Sandoz Group AG-ADR	OTC Markets
SFGYY	Sony Financial Group Inc	OTC Markets
SICP	SilverGate Capital	OTC Markets
SLAMF	Slam Corp	OTC Markets
SLNAF	Selina Hospitality PLC	OTC Markets
SMNR	Semnur Pharmaceuticals Inc	OTC Markets
SNFI	Stark Novus Financial Inc	OTC Markets
SRNE	Sorrento Therapeutics Inc	OTC Markets
SUNWQ	Sunworks Inc	OTC Markets
SYRS	Syros Pharmaceuticals Inc	OTC Markets
TBLT	Toughbuilt Industries Inc	OTC Markets
TRVN	Trevena Inc	OTC Markets
TSPH	TuSimple Holdings Inc	OTC Markets
VISL	Vislink Technologies Inc	OTC Markets
WCPRF	Whitecap Resources Inc	OTC Markets
XELA	Exela Technologies Inc	OTC Markets
ZOMDF	Zomedica Corp	OTC Markets
ZPTA	Zapata Quantum Inc	OTC Markets
PRESIGHT.DH	Presight AI Holding PLC	Abu Dhabi
ATADL.L	Tatneft OAO-ADR	London
CAN.L	Canal+ France	London
EVR.L	Evraz PLC	London
HEIQ.L	Heiq Plc	London
IPF.L	International Personal Finance Plc	London
LKOD.L	Lukoil OAO-ADR	London
MNODL.L	MMC Norilsk Nickel OJSC-ADR	London
NVTKL.L	NOVATEK OAO	London
OGZDL.L	Gazprom OAO-ADR	London
PFC.L	Petrofac	London
ROSNL.L	Rosneft OAO	London
SBER.MOEX	Sberbank Moscow	London
SGGD.L	Surgutneftegas OAO-ADR	London
SVSTL.L	Severstal PAO	London
TET.L	Treatt Plc	London
AGFX.L	Argentex Group Plc	London AIM
ANIC.L	Agronomics Limited	London AIM
APTA.L	Aptamer Group Plc	London AIM
ARB.L	Argo Blockchain Plc	London AIM
EXR.L	Engage Xr Holdings Plc	London AIM
FOG.L	Falcon Oil &amp; Gas Ltd.	London AIM
GFIN.L	Gfinity Plc	London AIM
INDI.L	Indus Gas Ld	London AIM
NOG.L	Nostrum Oil &amp; Gas PLC	London AIM
OPG.L	Opg Power Ventures Plc	London AIM
TRU.L	Trufin Plc	London AIM
TRX.L	Tissue Regenix Group Plc	London AIM
